file_path,dataset,work,composer,source_project,source_reference,transcriber_or_editor,rights_or_license,license_reference,notes
datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,precise_edit,Symphony No. 9,Ludwig van Beethoven,OpenScore / MuseScore,https://musescore.com/openscore/scores/5733014,,"Score: CC0 1.0 Universal; Annotations: CC-By-SA",embedded MusicXML rights/source metadata,Base score excerpt for precise-edit benchmark.
datasets/scores/beethoven_op125_m1_violin1_bars001-200.musicxml,precise_edit,Symphony No. 9 - Violin 1,Ludwig van Beethoven,OpenScore / MuseScore,https://musescore.com/openscore/scores/5733014,,"Score: CC0 1.0 Universal; Annotations: CC-By-SA",embedded MusicXML rights/source metadata,Violin 1 part excerpt for precise-edit benchmark.
datasets/scores/borodin_string_quartet_no2_bars001-200.musicxml,precise_edit,String Quartet No. 2,Alexander Borodin,OpenScore / MuseScore,http://musescore.com/user/37221589/scores/10675759,markpearse,OpenScore (CC0),embedded MusicXML rights/source metadata,Embedded metadata also cites IMSLP reverse lookup https://imslp.org/wiki/Special:ReverseLookup/644692.
datasets/scores/delius_it_was_a_lover_and_his_lass_bars001-064.musicxml,precise_edit,It was a Lover and His Lass,Frederick Delius,OpenScore / MuseScore,http://musescore.com/user/27638568/scores/6230256,markpearse,Creative Commons copyright waiver (CC0 1.0 Universal),embedded MusicXML rights/source metadata,Embedded metadata cites IMSLP #435041 and William Shakespeare as lyricist.
datasets/long_task_reconstruction/sources/beethoven_op59no1_m4_bars001-100.musicxml,long_task_reconstruction,Opus 59 no. 1 Movement 4,Ludwig van Beethoven,music21 corpus,music21/corpus/beethoven/opus59no1/movement4.mxl,,music21 corpus terms; no additional embedded rights in source MusicXML,music21/corpus/license.txt,Source/base excerpt copied from the music21 core corpus.
datasets/long_task_reconstruction/targets/beethoven_op59no1_m4_bars001_040.musicxml,long_task_reconstruction,Opus 59 no. 1 Movement 4,Ludwig van Beethoven,music21 corpus,music21/corpus/beethoven/opus59no1/movement4.mxl,,music21 corpus terms; no additional embedded rights in source MusicXML,music21/corpus/license.txt,Benchmark target derived from the corresponding music21 corpus source excerpt and thesis reconstruction prompt.
datasets/long_task_reconstruction/sources/beethoven_op67_m1_full_bars001-100.musicxml,long_task_reconstruction,Symphony No. 5,Ludwig van Beethoven,IMSLP / OpenScore,IMSLP #575952,,"Score: CC0 1.0 Universal; Annotations: CC-By-SA",embedded MusicXML rights/source metadata,Source/base excerpt for Beethoven Symphony No. 5 long-task case.
datasets/long_task_reconstruction/targets/beethoven_op67_m1_full_bars001_020.musicxml,long_task_reconstruction,Symphony No. 5,Ludwig van Beethoven,IMSLP / OpenScore,IMSLP #575952,,"Score: CC0 1.0 Universal; Annotations: CC-By-SA",embedded MusicXML rights/source metadata,Benchmark target derived from the corresponding source excerpt and thesis reconstruction prompt.
datasets/long_task_reconstruction/sources/haydn_op74no1_m2_bars001-100.musicxml,long_task_reconstruction,Opus 74 no. 1 Movement 2,Joseph Haydn,music21 corpus,music21/corpus/haydn/opus74no1/movement2.mxl,,music21 corpus terms; no additional embedded rights in source MusicXML,music21/corpus/license.txt,Source/base excerpt copied from the music21 core corpus.
datasets/long_task_reconstruction/targets/haydn_op74no1_m2_bars001_040.musicxml,long_task_reconstruction,Opus 74 no. 1 Movement 2,Joseph Haydn,music21 corpus,music21/corpus/haydn/opus74no1/movement2.mxl,,music21 corpus terms; no additional embedded rights in source MusicXML,music21/corpus/license.txt,Benchmark target derived from the corresponding music21 corpus source excerpt and thesis reconstruction prompt.
datasets/long_task_reconstruction/sources/mozart_k155_m1_bars001-100.musicxml,long_task_reconstruction,String Quartet No. 2 in D major K. 155 Movement 1,Wolfgang Amadeus Mozart,music21 corpus,music21/corpus/mozart/k155/movement1.mxl,,music21 corpus terms; no additional embedded rights in source MusicXML,music21/corpus/license.txt,Source/base excerpt copied from the music21 core corpus.
datasets/long_task_reconstruction/targets/mozart_k155_m1_bars001_040.musicxml,long_task_reconstruction,String Quartet No. 2 in D major K. 155 Movement 1,Wolfgang Amadeus Mozart,music21 corpus,music21/corpus/mozart/k155/movement1.mxl,,music21 corpus terms; no additional embedded rights in source MusicXML,music21/corpus/license.txt,Benchmark target derived from the corresponding music21 corpus source excerpt and thesis reconstruction prompt.
datasets/long_task_reconstruction/sources/mozart_k156_m1_bars001-100.musicxml,long_task_reconstruction,String Quartet in G major K. 156 Movement 1,Wolfgang Amadeus Mozart,music21 corpus,music21/corpus/mozart/k156/movement1.mxl,,music21 corpus terms; no additional embedded rights in source MusicXML,music21/corpus/license.txt,Source/base excerpt copied from the music21 core corpus.
datasets/long_task_reconstruction/targets/mozart_k156_bars001_040.musicxml,long_task_reconstruction,String Quartet in G major K. 156 Movement 1,Wolfgang Amadeus Mozart,music21 corpus,music21/corpus/mozart/k156/movement1.mxl,,music21 corpus terms; no additional embedded rights in source MusicXML,music21/corpus/license.txt,Benchmark target derived from the corresponding music21 corpus source excerpt and thesis reconstruction prompt.
datasets/long_task_reconstruction/sources/mozart_k545_m1_exposition_bars001-012.musicxml,long_task_reconstruction,Piano Sonata in C major K. 545 Movement 1 Exposition,Wolfgang Amadeus Mozart,music21 corpus,music21/corpus/mozart/k545/movement1_exposition.mxl,,music21 corpus terms; no additional embedded rights in source MusicXML,music21/corpus/license.txt,Source/base excerpt copied from the music21 core corpus.
datasets/long_task_reconstruction/targets/mozart_k545_bars001_012.musicxml,long_task_reconstruction,Piano Sonata in C major K. 545 Movement 1 Exposition,Wolfgang Amadeus Mozart,music21 corpus,music21/corpus/mozart/k545/movement1_exposition.mxl,,music21 corpus terms; no additional embedded rights in source MusicXML,music21/corpus/license.txt,Benchmark target derived from the corresponding music21 corpus source excerpt and thesis reconstruction prompt.
